spu_code	status
PH4534M41919	2
PHO_042B	2
POU_096M	2
PHO_0PVH	2
PEL_0HCH	2
PEL_068D	0
PTO_0WAZ	2
PBE_0AVB	2
PHO_0PVN	2
PHO_0PVM	2
PHO_0PVK	2
PBY_0RVH	2
PBY_0PCW	2
PHO_0PVJ	2
PHO_0BG6	2
PTO_00ZC	4
PTO_02IB	2
PEL_09GO	2
ST21229E6863	2
PTO_01AS	2
PEL_068F	2
PHO_0EOL	2
PEL_04SX	2
PEL_01FB	2
PEL_0578	2
PBY_0P1N	0
PBY_0P1P	0
PBY_0P1O	0
PBY_0PDG	4
PEL_02AJ	4
PEL_00JP	4
PHO_00HY	2
PBE_033V	4
PHO_00KO	2
PBE_032W	2
PBE_0817	2
PBE_033Y	4
PBE_006H	2
PHO_05NA	2
PHO_05PX	2
PEL_0BU5	2
PTO_0WC0	2
POU_00CW	2
EL6131TLMFF3	2
EL6131J7I46M	2
PEL_07ZX	2
PEL_00V0	2
PEL_06U6	2
PEL_07B5	0
EL6131FAJE6M	2
PEL_00I1	2
PTO_023S	2
PAU_06CQ	2
PHO_05EA	2
PHO_05CC	2
PHO_09EH	2
PHO_08W2	2
PBE_09FU	2
PAU_00CM	4
PAU_02JK	2
PBY_0RNI	2
PBY_0RNH	2
PBE_009J	2
PAU_02YC	2
PHO_0FKB	2
PHO_0IBU	2
PEL_04I5	2
PAU_0649	2
PAU_02T7	2
PEL_0CNV	2
PBY_0GMN	2
PBY_0F0S	2
PBY_0H8E	2
PBY_0F4F	2
PEL_0FBB	2
PEL_022Z	2
PEL_05X8	2
PHO_0EJO	2
PHO_0AT4	2
PTO_02D9	2
POU_026I	2
PEL_02KZ	2
PAU_0853	2
PTO_0ENU	2
ST61360K5G8P	2
PEL_027R	2
PEL_06RF	0
PEL_0EUR	2
PHO_06UQ	2
PEL_09Y3	2
POU_02EI	2
PHO_07GY	2
PTO_02FX	2
PST_00Z5	2
PHO_050F	2
PST_0012	2
PEL_0895	2
PEL_07WO	2
PHO_0D2T	2
PHO_08G4	2
PHO_0HGR	2
PHO_0B6Q	2
PHO_0GDQ	2
PBY_0JND	2
PHO_06GG	2
POU_011D	4
PHO_066I	2
PTO_00QJ	2
PHO_08YG	2
PHO_025M	2
PHO_0524	2
PHO_0J2E	2
PTO_0F23	4
PAU_00WC	2
PAU_03BB	2
PTO_0DVB	2
POU_08RM	2
PTO_00ID	2
PEL_056P	2
PTO_06HA	2
TO212291Y1XS	2
PEL_09XN	2
PTO_01Y6	2
PEL_0DV4	2
TOA212223V5E	2
FQ1TO_CE36Q	2
POU_034A	2
PHO_06Z2	2
PTO_04BV	2
FQ1TO_HO022	2
PTO_0726	2
PST_01I3	2
POU_00CB	2
POU_021D	2
POU_00FO	2
POU_06AW	2
POU_0545	2
POU_0294	2
PHO_03VY	2
POU_05QA	2
POU_07AY	2
PTO_0552	2
PTO_0391	2
FQ1TO_GQKQ4	2
PBY_0HHJ	2
PHO_0PVI	2
PHO_02NK	2
PHO_0I7O	2
PTO_016L	2
OU45344DJRKY	2
